"","Project","ErrorType","Class","Method","ViolatedRule","Object","Statement","Source.Code"
"102","com.cosmos.candle_6.apk","ConstraintError","t6.c","javax.net.ssl.SSLContext i()","violating CrySL rule for javax.net.ssl.SSLContext (on Object #2b5482a2fe3e4f846eff66b7385c60f8a3288e72177ae9852d2ba0fddea8b853)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer11709, $r2)","https://gitlab.com/cosmosapps/candle"
"103","com.cosmos.candle_6.apk","RequiredPredicateError","l6.x","void <init>(l6.x$b)","violating CrySL rule for javax.net.ssl.SSLContext ","First parameter was not properly generated as generated Key Managers","virtualinvoke $r19.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer6488, $r15, varReplacer6488)","https://gitlab.com/cosmosapps/candle"
"104","com.cosmos.candle_6.apk","ConstraintError","t6.f","javax.net.ssl.SSLContext i()","violating CrySL rule for javax.net.ssl.SSLContext (on Object #986216f4bbb3d3d0b32c52122c3d0eb85af3d70f60ea0e11365d144bfc5ba21a)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer11710)","https://gitlab.com/cosmosapps/candle"
"105","com.cosmos.candle_6.apk","ConstraintError","t6.b","javax.net.ssl.SSLContext i()","violating CrySL rule for javax.net.ssl.SSLContext (on Object #f0bc1ee17696958a43908d73207f28b292b395ef762d2e662078dde3075aeaaf)","First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer11705)","https://gitlab.com/cosmosapps/candle"
"106","com.greenaddress.abcore_77.apk","TypestateError","e.b.a.u.e","byte[] a()","violating CrySL rule for java.security.MessageDigest (on Object #bf877156470b00ffbd4bf234842baf00212f80aeb8cdf1f46a6d21f907db8cf6)","Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte)","$r2 = virtualinvoke $r1.<java.security.MessageDigest: byte[] digest()>()","https://github.com/greenaddress/abcore"
"107","com.greenaddress.abcore_77.apk","IncompleteOperationError","e.b.a.x.a","void a(long,long)","violating CrySL rule for java.security.MessageDigest (on Object #bf877156470b00ffbd4bf234842baf00212f80aeb8cdf1f46a6d21f907db8cf6)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$l2 = virtualinvoke r0.<e.b.a.x.a: long a()>()","https://github.com/greenaddress/abcore"
"108","com.greenaddress.abcore_77.apk","IncompleteOperationError","e.b.a.x.a","void a(java.io.InputStream)","violating CrySL rule for java.security.MessageDigest (on Object #bf877156470b00ffbd4bf234842baf00212f80aeb8cdf1f46a6d21f907db8cf6)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke $r5.<e.b.a.x.a: void a(long,long)>($l2, $l4)","https://github.com/greenaddress/abcore"
"109","com.greenaddress.abcore_77.apk","IncompleteOperationError","e.b.a.x.a","void a(java.io.InputStream)","violating CrySL rule for java.security.MessageDigest (on Object #bf877156470b00ffbd4bf234842baf00212f80aeb8cdf1f46a6d21f907db8cf6)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","specialinvoke $r5.<e.b.a.x.a: void <init>()>()","https://github.com/greenaddress/abcore"
"110","com.greenaddress.abcore_77.apk","IncompleteOperationError","e.b.a.x.a","void a(long,long)","violating CrySL rule for java.security.MessageDigest (on Object #bf877156470b00ffbd4bf234842baf00212f80aeb8cdf1f46a6d21f907db8cf6)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$l3 = virtualinvoke r0.<e.b.a.x.a: long a()>()","https://github.com/greenaddress/abcore"
"111","com.greenaddress.greenbits_android_wallet_22000376.apk","RequiredPredicateError","com.blockstream.green.utils.AppKeystore","javax.crypto.Cipher getEncryptionCipher(java.lang.String)","violating CrySL rule for javax.crypto.Cipher ","Second parameter was not properly generated as generated Key","virtualinvoke $r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer19591, $r5)","https://github.com/blockstream/green_android"
"112","com.greenaddress.greenbits_android_wallet_22000376.apk","ConstraintError","com.blockstream.green.utils.AppKeystore","javax.crypto.Cipher getEncryptionCipher(java.lang.String)","violating CrySL rule for javax.crypto.Cipher (on Object #5c8164c61497718ac2b78d4f44a168fda998c4efc22406fa652a573a2ee04ad9)","First parameter (with value ""AES/CBC/PKCS7Padding"") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding}","$r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer19588)","https://github.com/blockstream/green_android"
"113","com.greenaddress.greenbits_android_wallet_22000376.apk","ConstraintError","com.blockstream.green.utils.AppKeystore","void <init>()","violating CrySL rule for java.security.KeyStore (on Object #12be7d1eba4070bd8aaf2affc2fa10bcd459890df402790fab753dec5f30c7f7)","First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}","$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer29642)","https://github.com/blockstream/green_android"
"114","com.greenaddress.greenbits_android_wallet_22000376.apk","ConstraintError","com.blockstream.green.utils.AppKeystore","javax.crypto.Cipher getDecryptionCipher(java.lang.String,com.blockstream.green.utils.EncryptedData)","violating CrySL rule for javax.crypto.Cipher (on Object #1116e05a7284d221e5508941129bfc032156200df47477e37e2b0da1e18455a8)","First parameter (with value ""AES/CBC/PKCS7Padding"") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding}","$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer23937)","https://github.com/blockstream/green_android"
"115","com.greenaddress.greenbits_android_wallet_22000376.apk","TypestateError","com.blockstream.green.utils.AppKeystore","byte[] decryptData(javax.crypto.Cipher,com.blockstream.green.utils.EncryptedData)","violating CrySL rule for javax.crypto.Cipher (on Object #1116e05a7284d221e5508941129bfc032156200df47477e37e2b0da1e18455a8)","Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD","$r3 = virtualinvoke $r1.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)","https://github.com/blockstream/green_android"
"116","com.greenaddress.greenbits_android_wallet_22000376.apk","RequiredPredicateError","com.blockstream.green.utils.AppKeystore","javax.crypto.Cipher getDecryptionCipher(java.lang.String,com.blockstream.green.utils.EncryptedData)","violating CrySL rule for javax.crypto.Cipher ","Second parameter was not properly generated as generated Key","virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer23939, $r5, $r6)","https://github.com/blockstream/green_android"
"117","com.greenaddress.greenbits_android_wallet_22000376.apk","TypestateError","com.blockstream.green.utils.AppKeystore","com.blockstream.green.utils.EncryptedData encryptData(javax.crypto.Cipher,byte[])","violating CrySL rule for javax.crypto.Cipher (on Object #5c8164c61497718ac2b78d4f44a168fda998c4efc22406fa652a573a2ee04ad9)","Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD","$r2 = virtualinvoke $r1.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r2)","https://github.com/blockstream/green_android"
"118","com.greenaddress.greenbits_android_wallet_22000376.apk","RequiredPredicateError","com.blockstream.green.utils.AppKeystore","javax.crypto.Cipher getDecryptionCipher(java.lang.String,com.blockstream.green.utils.EncryptedData)","violating CrySL rule for javax.crypto.spec.IvParameterSpec ","First parameter was not properly generated as randomized","specialinvoke $r6.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r7)","https://github.com/blockstream/green_android"
"119","com.greenaddress.greenbits_android_wallet_22000376.apk","ConstraintError","com.blockstream.green.settings.Migrator","void <init>(android.content.Context,com.blockstream.green.database.WalletRepository,com.blockstream.gdk.GreenWallet,com.blockstream.green.settings.SettingsManager)","violating CrySL rule for java.security.KeyStore (on Object #3e92c089903a7cc650e040ff9cbffebed50d97dfb0f124439620ca6333155496)","First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}","$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer36828)","https://github.com/blockstream/green_android"
"120","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.concurrent.ImmediateEventExecutor","void execute(java.lang.Runnable)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r4 = interfaceinvoke $r6.<java.util.Queue: java.lang.Object poll()>()","https://github.com/greenaddress/GreenBits"
"121","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter","java.lang.CharSequence convertObject(java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r5 = virtualinvoke $r3.<io.netty.handler.codec.http.HttpHeaderDateFormat: java.lang.String format(java.util.Date)>($r4)","https://github.com/greenaddress/GreenBits"
"122","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.channel.socket.nio.NioSocketChannel","void doWrite(io.netty.channel.ChannelOutboundBuffer)","violating CrySL rule for java.security.MessageDigest (on Object #7ca9a700ebe627157539d8dc31c8e4ddd9fc3ab7976d1bdcc1e78840d9996ef4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$l4 = virtualinvoke $r3.<java.nio.channels.SocketChannel: long write(java.nio.ByteBuffer[],int,int)>($r2, varReplacer38488, $i1)","https://github.com/greenaddress/GreenBits"
"123","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.channel.socket.nio.NioSocketChannel","void doWrite(io.netty.channel.ChannelOutboundBuffer)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$l4 = virtualinvoke $r3.<java.nio.channels.SocketChannel: long write(java.nio.ByteBuffer[],int,int)>($r2, varReplacer38488, $i1)","https://github.com/greenaddress/GreenBits"
"124","com.greenaddress.greenbits_android_wallet.testnet_205.apk","ConstraintError","com.greenaddress.greenbits.KeyStoreAES","void createKey(boolean)","violating CrySL rule for java.security.KeyStore (on Object #fadc8fe21c97bed244a13d38d0d1a58e7dd732868e2d2333c7e103cd58ff5edb)","First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}","$r2 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5548)","https://github.com/greenaddress/GreenBits"
"125","com.greenaddress.greenbits_android_wallet.testnet_205.apk","ConstraintError","com.greenaddress.greenbits.ui.PinActivity","javax.crypto.Cipher getAESCipher()","violating CrySL rule for javax.crypto.Cipher (on Object #b084ea51203a4b4429b9d14c841a909b28fb059f81c7b6151e9d5f1b2a70e618)","First parameter (with value ""AES/CBC/PKCS7Padding"") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding}","$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer23665)","https://github.com/greenaddress/GreenBits"
"126","com.greenaddress.greenbits_android_wallet.testnet_205.apk","RequiredPredicateError","io.netty.handler.ssl.OpenSslClientContext","void <init>(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.Iterable,io.netty.handler.ssl.CipherSuiteFilter,io.netty.handler.ssl.ApplicationProtocolConfig,long,long)","violating CrySL rule for javax.net.ssl.TrustManagerFactory ","First parameter was not properly generated as generated Key Store","virtualinvoke $r20.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer28013)","https://github.com/greenaddress/GreenBits"
"127","com.greenaddress.greenbits_android_wallet.testnet_205.apk","TypestateError","io.netty.handler.ssl.OpenSslClientContext","void <init>(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.Iterable,io.netty.handler.ssl.CipherSuiteFilter,io.netty.handler.ssl.ApplicationProtocolConfig,long,long)","violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #a4af5fe64c8f3aeb1779f49a709a5b99d95eb4fbc89728e3e3c379c6030c7d7b)","Unexpected call to method getTrustManagers on object of type javax.net.ssl.TrustManagerFactory. Expect a call to one of the following methods init","$r21 = virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManager[] getTrustManagers()>()","https://github.com/greenaddress/GreenBits"
"128","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.handler.ssl.OpenSslEngine","void <clinit>()","violating CrySL rule for javax.net.ssl.SSLParameters (on Object #749d75682b0ccdd594e42b2d03d2b4921f87da0495087cd2fa80c6dcd12ac952)","Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites","virtualinvoke $r23.<java.lang.reflect.Method: java.lang.Object invoke(java.lang.Object,java.lang.Object[])>($r13, $r14)","https://github.com/greenaddress/GreenBits"
"129","com.greenaddress.greenbits_android_wallet.testnet_205.apk","RequiredPredicateError","io.netty.handler.ssl.OpenSslServerContext","void <init>(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.Iterable,io.netty.handler.ssl.CipherSuiteFilter,io.netty.handler.ssl.OpenSslApplicationProtocolNegotiator,long,long,io.netty.handler.ssl.ClientAuth)","violating CrySL rule for javax.net.ssl.TrustManagerFactory ","First parameter was not properly generated as generated Key Store","virtualinvoke $r17.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer33993)","https://github.com/greenaddress/GreenBits"
"130","com.greenaddress.greenbits_android_wallet.testnet_205.apk","TypestateError","io.netty.handler.ssl.OpenSslServerContext","void <init>(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.Iterable,io.netty.handler.ssl.CipherSuiteFilter,io.netty.handler.ssl.OpenSslApplicationProtocolNegotiator,long,long,io.netty.handler.ssl.ClientAuth)","violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #7afc1a02d8d34ca1a83f8c314568bee2b0fb038b02979797127193713311223c)","Unexpected call to method getTrustManagers on object of type javax.net.ssl.TrustManagerFactory. Expect a call to one of the following methods init","$r18 = virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManager[] getTrustManagers()>()","https://github.com/greenaddress/GreenBits"
"131","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.handler.codec.http.DefaultHttpHeaders$HeaderValueConverter","java.lang.CharSequence convertObject(java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r5 = virtualinvoke $r3.<io.netty.handler.codec.http.HttpHeaderDateFormat: java.lang.String format(java.util.Date)>($r4)","https://github.com/greenaddress/GreenBits"
"132","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","com.google.protobuf.MapFieldLite","void ensureMutable()","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$z0 = virtualinvoke r0.<com.google.protobuf.MapFieldLite: boolean isMutable()>()","https://github.com/greenaddress/GreenBits"
"133","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.collection.CharObjectHashMap","java.lang.Object put(char,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$i4 = specialinvoke r0.<io.netty.util.collection.CharObjectHashMap: int probeNext(int)>($i2)","https://github.com/greenaddress/GreenBits"
"134","com.greenaddress.greenbits_android_wallet.testnet_205.apk","TypestateError","com.greenaddress.greenbits.ui.PinActivity","void tryDecrypt()","violating CrySL rule for javax.crypto.Cipher (on Object #b084ea51203a4b4429b9d14c841a909b28fb059f81c7b6151e9d5f1b2a70e618)","Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD","$r13 = virtualinvoke $r11.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r13)","https://github.com/greenaddress/GreenBits"
"135","com.greenaddress.greenbits_android_wallet.testnet_205.apk","RequiredPredicateError","com.greenaddress.greenbits.ui.PinActivity","void tryDecrypt()","violating CrySL rule for javax.crypto.spec.IvParameterSpec ","First parameter was not properly generated as randomized","specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r13)","https://github.com/greenaddress/GreenBits"
"136","com.greenaddress.greenbits_android_wallet.testnet_205.apk","ConstraintError","com.greenaddress.greenbits.ui.PinActivity","void tryDecrypt()","violating CrySL rule for java.security.KeyStore (on Object #94e7e10d4ef0eb1947b109c382dfd99f9fd5bdd044f2bbe505a43946c68475a3)","First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}","$r8 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer15289)","https://github.com/greenaddress/GreenBits"
"137","com.greenaddress.greenbits_android_wallet.testnet_205.apk","RequiredPredicateError","com.greenaddress.greenbits.ui.PinActivity","void tryDecrypt()","violating CrySL rule for javax.crypto.Cipher ","Second parameter was not properly generated as generated Key","virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer15280, $r10, $r12)","https://github.com/greenaddress/GreenBits"
"138","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","android.support.v4.util.SimpleArrayMap","java.lang.Object put(java.lang.Object,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$i2 = virtualinvoke r0.<android.support.v4.util.SimpleArrayMap: int indexOf(java.lang.Object,int)>($r2, $i1)","https://github.com/greenaddress/GreenBits"
"139","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","android.support.v4.util.SimpleArrayMap","java.lang.Object put(java.lang.Object,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","specialinvoke r0.<android.support.v4.util.SimpleArrayMap: void allocArrays(int)>($i3)","https://github.com/greenaddress/GreenBits"
"140","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","android.support.v4.util.SimpleArrayMap","java.lang.Object put(java.lang.Object,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$i2 = virtualinvoke r0.<android.support.v4.util.SimpleArrayMap: int indexOfNull()>()","https://github.com/greenaddress/GreenBits"
"141","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.channel.socket.nio.NioSocketChannel","void doWrite(io.netty.channel.ChannelOutboundBuffer)","violating CrySL rule for java.security.MessageDigest (on Object #be817cdd8ba72b86487204419e0885ab6099c09945105bf7ffed99b758ffcf5e)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$l4 = virtualinvoke $r3.<java.nio.channels.SocketChannel: long write(java.nio.ByteBuffer[],int,int)>($r2, varReplacer38488, $i1)","https://github.com/greenaddress/GreenBits"
"142","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.Recycler$DefaultHandle","void recycle(java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r1 = interfaceinvoke $r8.<java.util.Map: java.lang.Object get(java.lang.Object)>($r5)","https://github.com/greenaddress/GreenBits"
"143","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.Recycler$DefaultHandle","void recycle(java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","interfaceinvoke $r8.<java.util.Map: java.lang.Object put(java.lang.Object,java.lang.Object)>($r5, $r10)","https://github.com/greenaddress/GreenBits"
"144","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.concurrent.ImmediateEventExecutor","void execute(java.lang.Runnable)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r4 = interfaceinvoke $r6.<java.util.Queue: java.lang.Object poll()>()","https://github.com/greenaddress/GreenBits"
"145","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.concurrent.ImmediateEventExecutor","void execute(java.lang.Runnable)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r4 = interfaceinvoke $r6.<java.util.Queue: java.lang.Object poll()>()","https://github.com/greenaddress/GreenBits"
"146","com.greenaddress.greenbits_android_wallet.testnet_205.apk","RequiredPredicateError","com.squareup.okhttp.OkHttpClient","javax.net.ssl.SSLSocketFactory getDefaultSSLSocketFactory()","violating CrySL rule for javax.net.ssl.SSLContext ","Second parameter was not properly generated as generated Trust Managers","virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer39889, varReplacer39889, varReplacer39889)","https://github.com/greenaddress/GreenBits"
"147","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.handler.codec.marshalling.CompatibleMarshallingDecoder","void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","interfaceinvoke $r6.<org.jboss.marshalling.Unmarshaller: void close()>()","https://github.com/greenaddress/GreenBits"
"148","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.handler.codec.marshalling.MarshallingDecoder","java.lang.Object decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","interfaceinvoke $r5.<org.jboss.marshalling.Unmarshaller: void close()>()","https://github.com/greenaddress/GreenBits"
"149","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.collection.ShortObjectHashMap","java.lang.Object put(short,java.lang.Object)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$i4 = specialinvoke r0.<io.netty.util.collection.ShortObjectHashMap: int probeNext(int)>($i2)","https://github.com/greenaddress/GreenBits"
"150","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue","java.lang.Object newBufferPoll(java.lang.Object[],long)","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$l1 = specialinvoke r0.<io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue: long newBufferAndOffset(java.lang.Object[],long)>($r1, $l0)","https://github.com/greenaddress/GreenBits"
"151","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.util.Recycler","java.lang.Object get()","violating CrySL rule for java.security.MessageDigest (on Object #56dd8a97cd47054d2a3176f38ee012ed08a52dd06f2236701cf7d7b1d5fb1804)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r2 = staticinvoke <io.netty.util.Recycler$DefaultHandle: java.lang.Object access$200(io.netty.util.Recycler$DefaultHandle)>($r6)","https://github.com/greenaddress/GreenBits"
"152","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.channel.socket.nio.NioSocketChannel","void doWrite(io.netty.channel.ChannelOutboundBuffer)","violating CrySL rule for java.security.MessageDigest (on Object #be817cdd8ba72b86487204419e0885ab6099c09945105bf7ffed99b758ffcf5e)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r2 = virtualinvoke $r1.<io.netty.channel.ChannelOutboundBuffer: java.nio.ByteBuffer[] nioBuffers()>()","https://github.com/greenaddress/GreenBits"
"153","com.greenaddress.greenbits_android_wallet.testnet_205.apk","IncompleteOperationError","io.netty.channel.socket.nio.NioSocketChannel","void doWrite(io.netty.channel.ChannelOutboundBuffer)","violating CrySL rule for java.security.MessageDigest (on Object #7ca9a700ebe627157539d8dc31c8e4ddd9fc3ab7976d1bdcc1e78840d9996ef4)","Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","$r2 = virtualinvoke $r1.<io.netty.channel.ChannelOutboundBuffer: java.nio.ByteBuffer[] nioBuffers()>()","https://github.com/greenaddress/GreenBits"
